職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
