職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
【採線上面談】Software Engineer／Programmer 軟體工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~75,000元",//www.104.com.tw/job/3ypjf?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

•	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
•	整合網站應用程式至資料庫導向或 API 導向的後台系統。
•	提供 24x7 的技術支援。
•	開發、改善所有軟體產品，並提供維護所需的所有必要文件。
•	Familiar in server side languages (C# .Net).
•	Familiar in ECMA Script, AJAX.
•	Familiar in Object-Oriented Language.
•	Familiar in SQL-92 databases (Microsoft SQL server).
•	Microsoft SQL Server 2012",不拘,不拘,[],敏捷開發
前端工程師(Front-End Web Developer),海棠設計有限公司,台北市中山區,"月薪45,000~70,000元",//www.104.com.tw/job/4n49v?jobsource=hotjob_chr,"公司內部使用Gulp為主要開發工具, 希望新的夥伴除了基本Html開發外也能有處理前端框架之經驗(Vue or Angular), 如你對自己的前端技術有信心且具備不斷磨連自己的熱誠與我們同仁一起成長的企圖心, 非常歡迎你來與我們詳談！

【基本技術】
需熟悉HTML5，CSS3與Javascript基本之網站技術，RWD處理能力，獨力完成基本技術之網站開發需求

【瀏覽器兼容性版面調整經驗】
瀏覽器包含了 IE、Edge、Chrome、FireFox、Safari...等，能依循專案需求針對瀏覽器調整相對應的程式碼撰寫，讓畫面能在瀏覽器上呈現相同的視覺成果 (當然瀏覽器本身有限制的情況下除外)，同時也需要注意瀏覽器相容性等問題

【與前端夥伴們一同成長】
我們期待技術人員都能關注網站前端技術、行動應用及網路發展趨勢，一同分享新技術以及協助公司其他部門的夥伴在專業知識上的安排及判斷

【重視使用經驗細節與優化】
海棠設計非常重視視覺設計之成果是否有一定的品質於網站畫面中呈現，我們致力於提供給客戶最好的設計品質以及適合的網頁互動設計

【樣式框架之經驗】
樣式框架如 bootstrap 、foundation，是我們經常使用之樣式框架，期待你對 bootstrap 以及 foundation 能有基本的認知與使用概念

【Git使用經驗與概念理解】
你會與前端同仁、後端人員一同開發、協作專案，因此須具備Git版控使用經驗及概念，如你與我們使用之軟體不同沒關係，可以一同討論分享 (會以海棠目前使用之工具為主)

【SEO相關細節】
專案中一定需配置SEO相關項目，且須具備SEO需處理之項目理解能力及執行能力

【與後端對話之能力】
解析RESETFUL API與後端工程師協作串接資料，欄位的建置與設計上皆須利於後端開發，如需調整，也需具備與後端工程師溝通達成共識解決問題之能力

【良好的溝通與傾聽】
每個人皆有自己工作的一套模式，我們期待公司的每一位夥伴都能有培養溝通能力以及傾聽夥伴的意見與想法

面試請務必附上作品或個人網站連結向我們分享你的精彩作品，
期待與你相識，一同成長與進步。",大學以上,不拘,"['AJAX', 'HTML', 'JavaScript', 'jQuery']","【人格特質與自我要求】
對於自己的前端作品除了完美外更願意創新
期待自我下一次之作品都能與眾不同

【前端框架經驗】
一年以上Vue or Angular為主要前端開發框架
熟悉Vue Router等架構之開發經驗"
數位創新實驗室-Fintech軟體工程師-產品開發,經貿聯網科技股份有限公司,台北市內湖區,"月薪45,000元以上",//www.104.com.tw/job/7au4b?jobsource=hotjob_chr,"你是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才嗎？你期待一個以技術主導、鼓勵研發的工作環境嗎？經貿聯網數位創新實驗室歡迎你！ 

經貿聯網科技是台灣支付系統的領導品牌，以「數位創新、引領支付」為公司願景，長期為全台超過十家以上大型金融企業建置並維運安全的支付體系。並於五年前成立數位創新實驗室，專注於金融科技-雲技術與區塊鏈的研發，加入我們實驗室的團隊，除了能與支付市場之頂尖工程師共事，增強程式開發之能力外，你將可在二年內學成Fintech工程師所應具備的所有技能：
     -	DevOps運作
     -	Blockchain平台之營運與功能開發
     -	Cloud 平台 (Azure/AWS/GCS) 之營運與功能開發
     -	依使用者情境之新功能規劃、導入、與開發
     -	金融機構Fintech平台之營運與功能開發
     -	支付產業與Fintech的資安與法規
     -	每年最新技術的外訓課程

是經常寫程式、熱愛研究新技術、期待以自身的程式開發能力應用於數位創新服務的人才的首選！ 

工作內容
  1.	採DevOps的模式，發展FINTECH創新產品。
        範圍包含所有以最新技術在公有雲及私有雲上開發軟體生命週期的各階段。    
        FINTECH的技術領域以雲技術、機器學習及區塊鏈為主。  
  2.	與優異的工程師合作，應用在學校已學習的開發軟體生命週期管理技能於實作上。   
        過程中，除了展現技術能力外，將可深化工具評估與選擇的能力、
        軟體架構設計的能力、SA溝通協調的能力。
  3.	活用DevOps：含測試管理、版本控制及整合、CI/CD機制、軟體營運工程(SRE) 。
  4.	產業以金融業、支付業、特約商店管理相關為主，研發新的產品。
        參與內部及外部以Agile導入之專案，貢獻及學習專案管理的技能。
  5.	與UI/UX及使用者密切合作，開發符合不同情境/設備/及通路 的數位前端介面。

基礎技術
  1.	資訊工程與管理相關學士或碩士為優
  2.	JavaScript, TypeScript, Vue.js, Webpack, HTML等 
  3.	使用過 SVN/Git/CVS/TFS 等任一版本控制系統經驗，熟悉 Git 或 TFS 版控流程佳
  4.	高度學習 CI/CD/DevOps 的意願
  5.	其他技能, ex: network, web, Linux/Windows server...etc. 
  6.	具備良好的資料分析能力為優

專業技術：加入數位創新實驗室，您將在以下範圍進行實務運作與學習，同時找出自己專長及專注的領域
區塊鏈	
  •	研發基於 Ethereum 技術區塊鏈應用
  •	Blockchain 及API基本知識
  •	了解 Ethereum 基礎知識及運作原理
  •	具備智能合約開發能力及測試
  •	具備使用 Ethereum 節點及智能合約除錯能力
  •	其他專長/工具：go-ethereum / geth 、Truffle、Solidity	
雲端運算
  •	DevOps tools的使用。 例如： Docker, Ansible, Jenkins, Terraform, 
        kubernetes…etc.
  •	monitoring tools的使用。例如 InfluxDB/Prometheus/Grafana/Kibana 
  •	公有雲的使用。Experience with Azure/GCP/AWS operation

軟實力
  1.	期待快速學習成長（公司每年提供最新技術的教育訓練）的職涯
  2.	分析問題、邏輯思考、選擇最適技術解決問題的能力
  3.	喜歡應用最新的技術來優化團隊的產品及與公司所有的技術人員分享
  4.	喜歡以專案導向之工作性質
  5.	喜歡透過各種技巧發現問題並跟團隊互相支援、協作解決
  6.	喜歡透過各種工具/技巧執行監控等自動化作業來管理產品的上線生命週期、
        保持系統穩定運作及發現系統瓶頸

文化：專業透明、技術創新、合作共享 

福利： 
1.	薪資保障14個月，另依表現有每年績效獎金及長期留任獎金
2.	完整的居家上班規劃及軟硬體（WFH）
3.	由福委不定期舉辦各項活動來照顧同仁（工作-生活平衡）及CyberFamily公益組織回饋社會
4.	三節禮金/年終活動/每月一次之Happy Hour/按摩 等職場福利
5.	每二年之免費建康檢查

",大學、碩士,資訊管理相關、工程學科類、資訊工程相關,"['Linux', 'Jenkins', 'Git', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'VueJS', 'HTTP', 'Security']","面試說明：我們的面試包含 上機考試 及 視訊口試（研究成果說明與技術問答），視你作答測試之時間，全長約1-2個小時，可能分次執行，將使用TEAMS軟體執行。
"
【採線上面談】Full Stack Developer 全端工程師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"月薪50,000~70,000元",//www.104.com.tw/job/714qd?jobsource=hotjob_chr,"【新戰力募集】Full Stack Developer 全端工程師

工作內容:
Technique enthusiasts:
希望你是一位熱愛研究技術，有學習熱情，面對眾多考驗也能不畏艱難的投入， 我們有專門的UI/UX在產品設計與研究，讓你可以更專注在產品開發上。

Producers of fun:
每一個人都是樂趣的製造者，我們期許你將創意投入在產品上，追求更好的客戶體驗，有好的想法，隨時可以提出並且嘗試與實踐。

Problem solving:
我們不缺發現問題的人，但我們很缺解決問題的人，想要的工作環境由自己創造，用技術解決問題是我們的樂趣！

Team working:
專注在開發的你，更須注重與同事的協作，如果你善於溝通，那鈦坦會是你很好發揮的舞台，我們不排斥cross-function ，但我們更注重cross-learning。

Being adaptive: 發現問題，然後快速的修正迭代，我們崇尚敏捷開發，落實inspect and adapt，我們不害怕失敗，怕的是因為害怕失敗而不願意嘗試。

會的不用多，有信心解決問題就好！這裡會是最適合你的環境！

職務說明:
- 依據客戶及商業的需求，開發並維護高效能、高安全性、使用者易用的Web應用程式。
- 整合網站應用程式至資料庫導向或 API 導向的後台系統。
- 開發、改善及維運所有軟體產品與基礎建設，並提供維護所需的所有必要文件。",不拘,不拘,[],"• Familiar in server side languages (C# .Net).
• Familiar in ECMA Script, AJAX.
• Familiar in Object-Oriented Language.
• Familiar in SQL command (CRUD)."
【採線上面談】User Experience Researcher 使用者經驗研究員(台北),新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,待遇面議,//www.104.com.tw/job/73qxd?jobsource=hotjob_chr,"看了太多以「UX/UI Designer」為 Title 的職缺嗎？
我們正在尋找專職的User Experience Researcher

【工作內容】
在鈦坦的UXR會碰到大量的行為資料數據，需要透過邏輯的分析去了解使用者的行為並發掘潛在的問題，且透過質化研究去挖掘使用者的行為目的與心理預期，進而提供產品建議。

根據公司的營運方向，幫助公司了解使用者狀況、痛點和需求，進而衍生產品競爭力及機會點。除此之外，工作過程中將與UI設計師/工程師/Product Owner等不同專業的夥伴合作，共同創造出好的顧客旅程以及激盪創造出具有良好使用體驗的產品，甚至是有吸引力的產品。
如果你認同且符合我們對於User Experience Researcher期望，趕緊將你的履歷寄來吧!


【Qualification】
1. 具備規劃嚴謹研究計畫的能力，並貼近現實狀況/需求。
2. 熟悉UX質量化研究方法，並能精準的執行研究計畫與分析資料與數據
3. 能獨立自主作業，對工作內容抱有熱情，願意主動溝通
4. 溝通能力強，具有邏輯思維

【Experience】
1. 在軟體產業有三年以上的使用者經驗研究的工作經驗
2. 有從執行研究到自行設計(wireframe, IA, flow)的專案經驗（不包括視覺設計）

【Personality Traits / Characteristics】
1. 勇於提出自己的看法，願意聆聽他人並溝通進而消彌歧異
2. 敏銳的觀察力，確實的執行力，獨立自主的工作能力
3. 面對各種挑戰，虛心聆聽並獨立思辨。
4. 對事物保有好奇心，樂於學習新事物
",大學以上,不拘,[]," 1. 具備追蹤與撈取數據能力，如懂得使用Google Tag Manager, 資料庫/SQL
2. 可用英文進行溝通與開會尤佳
3. ⾯試時請攜帶過往⼯作案例以便分享 (未準備者將不予錄取，請⾯試者特別留意)

 "
嵌入式系統軟體研發工程師 (22000E),四零四科技股份有限公司,新北市新莊區,待遇面議,//www.104.com.tw/job/71o1n?jobsource=hotjob_chr,"[團隊介紹]
我們是一群實事求是，喜歡動手做實驗，讓實測數據輔助技術決策，更曾開發出數個全球市佔率第一的產品的團隊。在技術討論過程中，我們尊重每位成員的想法，也尊重每個人對開發時程的評估。我們鼓勵團隊共創，大家喜歡腦力激盪找出最佳方案，歡迎你一起參加我們熱烈的技術討論。

如果你是新鮮人，這裡會是很好的成長環境，團隊中有很多技術強者能引導你入門。我們更是一群興趣廣泛的七八年級生，從打球衝浪到打電動都有人可以陪你玩!

[團隊與產品價值]
如同智慧型手機改變了現代人的生活一樣，物聯網也正在重新定義未來工業現場應用和生產製造的樣貌，而「通訊技術」會是實踐工業物聯網的一個關鍵。
研發團隊根據實際需求，秉持「Easy、Secure、Reliable」的中心思想，運用不同的連網技術、提供各種工業通訊協定互相轉換的能力，讓機器與機器、機器與人能互相溝通，讓客戶可以連結多樣的設備和感測器，蒐集大數據資料，並經由雲端和邊緣運算分析，優化生產管理流程、提供預防性維護。
如果你也想親身參與工業4.0與智慧製造的變革浪潮，認同這樣的產品價值和設計理念，歡迎投遞履歷跟我們聊聊。

[工作內容]
-	與團隊共同開發工業物聯網通訊產品的功能模組
-	與前端工程師共同設計與開發 API
-	與國外分公司同事合作，協助客戶處理產品問題

[職涯發展]
-	提供完整的新人技術訓練，工作更容易上手
-	提供技術及管理相關課程補助，在職後也能持續成長
-	鼓勵員工參觀產業相關展覽及研討會，增長眼界
-	公司的產品和技術領域多元，都有機會可以接觸

[工時]
-	每日工時8小時，彈性上下班 (8:00 – 10:00上班、17:00 – 19:00下班)
-	不支持也不欣賞常態性加班。提高效率做對的事比加班更值得鼓勵
",大學以上,不拘,['C']," [必要能力]
-	熟悉 C語言
-	具備作業系統、資料結構、演算法等基礎知識

[加分但非必要能力]
-	了解TCP/IP網路架構
-	具備socket programming經驗
-	在Linux或RTOS嵌入式系統的開發經驗
-	具備 Git指令操作經驗

[履歷內容注意事項]
-	應屆畢業生請附大學及研究所成績單
-	中英文履歷皆可
-	歡迎提供任何能展示你專業能力的作品
 "
網管工程師（MIS）,百阜科技股份有限公司,台北市內湖區,"月薪32,000~63,000元",//www.104.com.tw/job/65kbs?jobsource=hotjob_chr,"1.使用者軟硬體問題處理
2.網路與虛擬化環境與機房維運管理
3.資訊資產盤點及借出物品管理
4.撰寫或修改工作標準流程(SOP)
5.協助採購相關資訊設備
6.日常報表製作與事件紀錄
7.主管交辦事項

加分條件：
1.機房有獨立規劃、執行及建置完整經驗
2.全新設備及系統可依公司當下架構獨立設定上線
3.跨部門協調專案事務之經驗
4.資安相關系統管理經驗
5.雲端服務器與服務管理
6.有弱電相關經驗
7.優化改善機房系統及網路架構相關經驗
",專科以上,不拘,[],"1.Client：Windows & Mac & O365
2.Mail：G-Suite & Zimbra
3.Virtualization：VMware vSphere & VMware Horizon
4.Network：Juniper & Cisco & Nusoft & ThinAP & DrayTek
5.Server：Windows AD & CentOs OPENVPN & CentOs Zabbix & CentOS Grafana
6.Other：IPPBX & UPS & 人資系統 & 門禁系統 & 監視系統 & 資產系統 & 投影機 & 多功能事務機


"
【採線上面談】Software Engineer / Programmer 軟體工程師 (台中市政府旁),新加坡商鈦坦科技股份有限公司台灣分公司,台中市西屯區,待遇面議,//www.104.com.tw/job/494fw?jobsource=hotjob_chr,"你所追求的工作是什麼？是寫【程式】，還是打造會讓你感到驕傲的【產品】?

在鈦坦，我們稱呼工程師為「產品開發者」（PD, Product Developer），我們不僅單純的寫【程式】把功能完成，並且考慮到效能、安全、使用性、維護成本、以及花費的資源與時間等因素所造成的影響。 在分析及評估所有影響要素後，達到客戶滿意的產出，才是我們對開發【產品】的要求！

你一定聽過敏捷式開發，但是你真正了解什麼是敏捷式開發嗎？
是很快速的把程式寫完？還是只是一堆似懂非懂的名詞？
如果你／妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你／妳一起加入鈦坦科技的開發團隊
在這個大家庭裡，你將會在專業敏捷開發顧問的協助下
學習到敏捷式開發的精髓，並且實際運用敏捷開發的框架，與團隊一起打造極致的產品。 
我們堅信：沒有最好，只有更好！

Qualification
1.	依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。 
2.	整合網站應用程式至資料庫導向或 API 導向的後台系統。
3.	可配合 24x7 的技術支援輪班, 協助客戶排除系統問題。
4.	開發、改善所有軟體產品，並提供維護所需的所有必要文件

• 此職缺在台中面試。
• 面試請附上作品集。",專科以上,不拘,"['ASP.NET', 'C#', 'MS SQL', 'JavaScript', 'jQuery']"," Experience
1.	年資：不限
2.	熟悉web-based development

Skills
1.	Familiar in ASP.NET and C#. (ASP.NET Core plus)
2.	Familiar in Frontend technology ( JavaScript, JQuery, Vue.js )
3.	Familiar in SQL-92 databases ( Microsoft SQL server 2014 and above )
4.	Familiar in automation test.
5.	Experience in web-based development.

[Nice to have]
1.	Familiar in Docker/K8S
2.	Familiar in CI/CD
3.	Experience design and build up a system from scratch

Personality Traits / Characteristics
1.	對學習新技術有熱忱，願意分享
2.	良好的溝通協調能力 "
機構助理工程師,桓達科技股份有限公司,新北市土城區,"月薪30,000~35,000元",//www.104.com.tw/job/7nj01?jobsource=hotjob_chr,"1. 協助工程師進行拆圖及文件整理。
2. 協助執行專案相關技術資料建立。
3. 主管交辦事項。",專科以上,機械工程相關,"['AutoCAD', 'SolidWorks', 'Word', 'Excel']"," Experience
1.	年資：不限
2.	熟悉web-based development

Skills
1.	Familiar in ASP.NET and C#. (ASP.NET Core plus)
2.	Familiar in Frontend technology ( JavaScript, JQuery, Vue.js )
3.	Familiar in SQL-92 databases ( Microsoft SQL server 2014 and above )
4.	Familiar in automation test.
5.	Experience in web-based development.

[Nice to have]
1.	Familiar in Docker/K8S
2.	Familiar in CI/CD
3.	Experience design and build up a system from scratch

Personality Traits / Characteristics
1.	對學習新技術有熱忱，願意分享
2.	良好的溝通協調能力 "
品管工程師(布袋),安倉營造股份有限公司,嘉義縣布袋鎮,"月薪54,000元以上",//www.104.com.tw/job/7ij0e?jobsource=hotjob_chr,"1.依據工程契約、設計圖說、規範、相關技術法規及參考品質計畫製作綱要等，訂定品質計畫，據以推動實施。 
2.執行內部品質稽核(如：稽核自主檢查表之檢查項目、檢查結果是否詳實記錄等)。 
3.品管統計分析、提出矯正與預防措施及追蹤改善。
4.管理品質文件與紀錄。
5.管控材料、設備檢(試)驗管制總表，追蹤、修正發包及預定材料設備進場時程。 
6.配合工程進度排定材料設備申請檢(試)驗時程，追蹤試驗報告判讀及提送，避免影響工地進度。
 7.檢視工程契約、設計圖說、規範、相關技術法規與材料設備之適用性，若有衝突者提出釋疑。 
8.管控各工項廠商資格、編撰分項計畫書、提送施工圖及進版催辦。 
9.檢視發包之材料設備是否符合工程契約、設計圖說、規範、相關技術法規之規定。 
10.建立良好溝通管道，以協助推動工程進度。
11.配合各單位辦理之督導、查核及稽核，提供所需資料與說明，就所列缺失協同各組改善回復。
12.接受培訓為工地種子人員，配合推動建置品質管理系統並取得認證。
13.推動公司品管政策及執行相關規定事務。 
14.其他提升工程品質事宜。
15.執行主管交辦事項。 

*本公司自主檢驗表由現場工程師負責填寫。
*可提供宿舍。
*平日與休假日加班費依勞基法規定計發。
*依學經歷核薪。",專科以上,土木工程相關,[],需有品管相關工作經驗。
Data Engineer 資料工程師,智齡科技股份有限公司,新北市新店區,"年薪600,000~800,000元",//www.104.com.tw/job/7kanm?jobsource=jolist_c_relevance,"請上teamdoor投遞履歷：https://jubohealth.teamdoor.io/s/VOo6NPCo

Jubo 正在招募 Data Engineer 資料工程師 加入其位於台灣新北市、針對台灣本地市場的產品研發團隊。對於真正合適的人選，這會是可以與高速成長、並擁有廣大國際連結的科技公司合作的獨一無二機會。
如果你是熱衷從零開始加入團隊打造成功企業、並且擁有能夠在快速變化環境中蓬勃成長的敏捷度與適應力，那麼這個角色會很適合你。身在一個十分活力的團隊，你將能對 Jubo 的事業有直接影響力，在我們的工作生態下跨足眾多領域，並且接觸到前線最新科技。我們的創辦團隊期許能形塑一個讓所有員工能持續發展潛能、培植專業力的環境。我們目標大膽，追求卓越。

職務範疇
1.與機器學習工程師、資料科學家、客戶成功團隊、設計團隊和PM密切合作，提供客戶高質量的照護數據相關服務
2.與機器學習架構師協作整合、設計、部署大數據處理流程與平臺
3.與資料科學家和機器學習工程師協作，建立各項數據指標

必要條件
1.具備雲端資料流串接，排程、處理、清洗、分析的實務經驗
2.具備資料處理常用工具的實務經驗，eg. MongoDB, SQL, Airflow, Bigquery
3.具備C, C++, Python或其他相關程式語言能力
4.具備 Microservices / Docker 相關經驗
5.能以清晰、準確和有效的方式交流，並與其他團隊順利合作

加分條件
1.有 Restful API 相關經驗
2.有 Git 版控 相關經驗
3.有 Kubernetes 相關經驗 
4.有 AWS 或 GCP 相關操作經驗
5.有 Docker 相關經驗
6.有 基本英文 溝通能力

薪資範圍：年薪NTD 600,000 - 800,000

我們重視的價值
1.身負社會責任：無論身份背景跟職業領域，我們期望每位員工能全方位兼顧謙遜、同理心、以及使命感，共事成長
2.熱愛探索學習：身在一個鼓吹終身學習的團隊，遇到新挑戰時，運用想像力跟執行力，找到多元方法實踐，向前邁進
3.自律及時間管理：我們自詡每位員工能良好自治並有所貢獻，鼓勵以更聰明的方式達成任務同時恪守職業倫理
4.堅毅的一顆心：創業精神不止於領導團隊，每一位成員都是參與、揉合並成為延續創新文化的重要一部分。勇敢踏出第一步，試錯再學，一起迎接未知挑戰。

關於 Jubo 智齡科技
Jubo 智齡科技是亞洲最大、致力於高齡照護產業的全方位科技企業。我們是一個想要打造新世代人性化照護和高齡生活的團隊，跨足行動科技、使用者經驗研究、資料科學、空間設計、護理及社會工作、海內外商業策略及客戶成功等專業領域。透過「We Connect Care」的核心價值，期許 Jubo 的科技開發應用，能夠順暢地串連跨系統資料、協助不同角色溝通，讓照護人員輕省、家人安心、專業決策者更放心，把省下來的時間心力，建立與高齡者更溫暖的互動連結。

自 2019 年，Jubo 數位照護健康資訊解決方案已經服務超過600 間長照、日照機構及居家服務單位，30,000名高齡住客、3,000 位照護專業人士，處理百萬等級的照護資料。Jubo 已獲得多項新創事業獎項殊榮、並持續鑽研技術與國際專利認證。研發總部位於台灣台北，同時正在拓展亞洲及北美的服務據點。歡迎你成為我們的夥伴，一起打造對高齡化社會具有正面影響力的世界級科技產品。",大學以上,不拘,"['C', 'C++', 'Python', 'JavaScript']",需有品管相關工作經驗。
資料工程師,雙子數位科技有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7mxtd?jobsource=jolist_c_relevance,"嗨～～哈囉～

你是本公司要找的資訊工程師嗎?
是你！別懷疑！！徵的就是你～
本公司需要的是具有相關兩年以上經驗的你喔~

此職缺的職務內容有：
1.大數據平台(gcp)維護及開發
2.開發和維運雲端服務及資源
3.整合串接不同資料源，多階數據轉換管理，資料清洗和排程管理

此職缺的必備技能：
1.具有物件導向/函數式語言的經驗：Python、Java、Scala 等(必要)
2.具有大數據平台的開發經驗：Hadoop、Spark、Kafka 等
3.有關聯式和非關連式數據庫的經驗
4.在大數據平台上的分析視覺化工具架設經驗 (Tableau server, Flurry)
5.具有支持數據轉換、數據結構、依賴關係和工作負載管理的經驗
6.具有雲端服務的開發經驗 (AWS/GCP/Azure)

有這麼好的工作機會，可別錯過囉！
趕快動一動你的手指頭，按下我要應徵/我要回覆的按鈕吧！
若還有相關的資訊想了解？歡迎來電或是來信，又或是由本公司的人資小姐姐主動與你聯繫唷～～

",大學,不拘,"['Java', 'Python', 'MS SQL', 'AWS']","
"
資料工程師 Data Engineer,東森新媒體控股股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7mumm?jobsource=jolist_c_relevance,"ETtoday目前Alexa排名為台灣第3名，全球第118名。2020牛津大學全球調查，ETtoday連續三年蟬聯台灣第1名網路新聞媒體。歡迎行動端好手一同加入新媒體，提供用戶最佳的行動端體驗！

工作內容：(東森新媒體旗下新服務)
   1. 與PM/UI/UX、前後端、資料、演算法工程師一同合作，開發與維護產品。
   2. 負責處理及挑戰 Data 相關的工程問題，包含建立 data pipeline、資料建模和資料分析等
   3. 與數據團隊協同合作，打造基於機器學習、資料探勘與人工智慧等相關技術的數據服務（例如 Recommendation system, Search engine, Data warehouse 等），並應用到 APP 產品上

基本條件：
1. 具有三年以上的軟體（包含演算法與資料結構）的開發經驗
2. 利用 SQL, Python, R 來建立資料模型
3. 擁有 Linux 作業系統的基本操作經驗
4. 善於解決問題，獨立思考且結果導向，有優秀的動手作能力。喜歡自動化、Code Review、Design Review 
5. 基於雲端解決方案，規劃技術架構並建立大規模 ETL 流程的經驗

加分條件：
1. 根據資料說故事及表達的能力
2. 有作過推薦系統的經驗
3. 有作過搜尋引擎的經驗
4. 善於在跨職能小團隊中團隊合作與溝通

工程師之路不難走，但希望招募的你：
- 需有無比的熱忱或目的能支撐著你為何走上這工程師之路
- 擁有異於常人的抗壓力，因為主管很喜歡拋問題給你想，期許工程師了解自己寫了啥
- 具獨立開發也具和其他人組隊打怪的能力
- 對於新技術有滿滿的好奇心且願意去研讀，並樂於在吸收消化後分享給團隊成員",專科、大學、碩士,不拘,"['Linux', 'Python', 'MySQL', 'Google Data Studio']","
"
資料工程師,驓勤爵也國際有限公司,台中市西區,"月薪32,000~65,000元",//www.104.com.tw/job/7n0kx?jobsource=jolist_c_relevance,"為公司獨立運作IT部門，負責代工軟體相關業務
公司崇尚自律學習，採半自主性的彈性管理
業務多半以合作夥伴需求為主，資安方面非常重視

由於我們是以代工為主，故在產品開發上會面臨各種不同的需求，
在技術層面上，需要能以解決問題為出發的心態，主動學習新技術
所以團隊合做精神不可或缺，但公司決策必須要擺第一

工作內容:
1. 維護爬蟲系統
2. 網頁數據爬蟲開發
3. 第三方數據串接
4. 數據清洗
5. 協助資料庫設計與建置

必要技能
1. Python3
2. requests 套件
3. C#
4. Git

候選技能:
1. Scrapy Framework
2. Message Middleware (RabbitMQ or Kafka)
3. MongoDB (CURD)
4. Python Restful API 框架(例如: Flask, FastAPI)
5. Pandas
6. 高併發資料處理
7. 資料塑模(Data Modeling)


若您對開發有熱忱且有自我想法
若您也想成為全端技術人員
若您也想從工程師轉變管理階層
甚至想成為一位經營者
只要您願意主動自我提升，公司就有相對資源輔佐您
若有朝一日想轉換跑道，公司也有非常豐富的其它管道資源",專科以上,不拘,"['Git', 'C#', 'Python']","1. 良好的團隊溝通及合作能力 (對Scrum 開發模式有興趣)
2. Clean Code Concept"
資料工程師,宇清數位智慧股份有限公司,新竹市,待遇面議,//www.104.com.tw/job/76kp9?jobsource=jolist_c_relevance,"【我們希望您具備經驗跟特質】
 1. 對任何與數據有關的事物有極大的熱情
 2. 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享新知識
 3. 良好的溝通、表達、協同合作能力、邏輯與理解力強，可以配合任務出差
 4. 熟悉 SQL 與關聯式資料庫使用經驗。例如MSSQL、PostgreSQL
 5. 有IE、半導體生產相關領域知識者佳
 【工作內容】
 1. 協助建立結構化資料庫
 2. 負責產品資料處理、資料架構開發、維護以及監控機制
 3. 協助專案產品的導入與開發、以及相關的推廣與後續維護
 4. 與演算法工程師及專案經理合作，依專案需求整合資料格式",專科以上,不拘,"['C#', 'C++', 'Python', 'Visual C#', 'Visual C++', 'MS SQL', 'MySQL', 'Oracle', 'PL/SQL', 'PostgreSQL']","1. 良好的團隊溝通及合作能力 (對Scrum 開發模式有興趣)
2. Clean Code Concept"
資料工程師,台灣資料科學股份有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/7gbex?jobsource=jolist_c_relevance,"1.熟悉資料庫安裝、設定及安全管理。(Oracle、MS SQL、MySQL至少一種)
2.設計資料之結構，規劃各種資料之整合，優化效能。(index索引建立、SQL語法改進)
3.參與構建雲原生、公有雲(GCP,AWS)等資料庫管理。
4.整合串接不同資料源，多階數據轉換管理，資料清洗和排程管理。
5.熟Python, C#, C/C++或其他數據分析工具加分。

Senior 資料工程師 6~8萬，工作地點  港墘站。
Junior : 港墘站。 三年內資歷。 4~5.5 萬。 均為熟悉 mysql, 懂 UI 佳。
程式語言 : python 等不限任一皆可
框架:pandas、 tensowflow、scikit-learn 、pytorch",大學以上,不拘,"['Linux', 'C', 'Python', 'MS SQL', 'MySQL', 'AWS']","1. 良好的團隊溝通及合作能力 (對Scrum 開發模式有興趣)
2. Clean Code Concept"
